veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
akciğer grafisi (COVID-QU-Ex),8072,0,4,paket,0.00993269996251911,1,8192,856067,2,1.711476,15514,,
akciğer grafisi (COVID-QU-Ex),8077,0,4,paket,0.010983900050632656,1,8192,855295,3,2.567214,21540,,
akciğer grafisi (COVID-QU-Ex),8080,0,0,paket,0.010001300019212067,1,8192,856049,2,1.711476,14649,,
akciğer grafisi (COVID-QU-Ex),8086,0,1,paket,0.010077400016598403,1,8192,856051,2,1.711476,9724,,
akciğer grafisi (COVID-QU-Ex),8100,0,3,paket,0.010126100038178265,1,8192,855861,2,1.711476,11263,,
akciğer grafisi (COVID-QU-Ex),8119,0,1,paket,0.009897899930365384,1,8192,855805,3,2.567214,16481,,
akciğer grafisi (COVID-QU-Ex),8121,0,3,paket,0.010327300056815147,1,8192,856045,3,2.567214,21735,,
akciğer grafisi (COVID-QU-Ex),8126,0,4,paket,0.010732499998994172,1,8192,855393,3,2.567214,24204,,
akciğer grafisi (COVID-QU-Ex),8128,0,3,paket,0.010212099994532764,1,8192,856017,2,1.711476,15248,,
akciğer grafisi (COVID-QU-Ex),8144,0,0,paket,0.010124399908818305,1,8192,855212,2,1.711476,11378,,
akciğer grafisi (COVID-QU-Ex),8174,0,4,paket,0.010390200070105493,1,8192,856048,2,1.711476,10405,,
akciğer grafisi (COVID-QU-Ex),8214,0,4,paket,0.01028970000334084,1,8192,856127,3,2.567214,20267,,
akciğer grafisi (COVID-QU-Ex),8217,0,2,paket,0.011189999990165234,1,8192,855913,2,1.711476,16302,,
akciğer grafisi (COVID-QU-Ex),8233,0,0,paket,0.010316499974578619,1,8192,856138,2,1.711476,15252,,
akciğer grafisi (COVID-QU-Ex),8234,0,0,paket,0.00995779992081225,1,8192,856030,1,0.855738,7759,,
akciğer grafisi (COVID-QU-Ex),8277,0,0,paket,0.009751499979756773,1,8192,855233,2,1.711476,15556,,
akciğer grafisi (COVID-QU-Ex),8287,0,2,paket,0.010194399976171553,1,8192,855283,2,1.711476,13841,,
akciğer grafisi (COVID-QU-Ex),8297,0,1,paket,0.009887300082482398,1,8192,856057,2,1.711476,10625,,
akciğer grafisi (COVID-QU-Ex),8344,0,2,paket,0.010202800040133297,1,8192,855989,2,1.711476,12797,,
