veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s,auc_kat_ort
akciğer grafisi (COVID-QU-Ex),D,F32_G55,odakli,4052,0,0.9163029301081104,0.9103604253438744,0.9220067330503235,6788,16.0,0.0001,0.001,,9.038467023714248e-07,14.866832844449805,21.48524049995467,
akciğer grafisi (COVID-QU-Ex),C,F45_G45,odakli,4050,0,0.9351583518705432,0.930564485247822,0.9396937096311287,6788,24.0,0.01,0.001,,1.992230044489673e-06,29.22462939799098,47.86771620006766,
akciğer grafisi (COVID-QU-Ex),D,F45_G45,odakli,4053,0,0.9189965343212828,0.913407874533374,0.9242991513466362,6788,19.0,0.01,0.001,,8.156181721119538e-07,12.64737546018002,22.73516759998165,
akciğer grafisi (COVID-QU-Ex),C,F55_G32,odakli,4049,0,0.9372606736161,0.9320550896927314,0.9415846251235797,6788,24.0,0.0001,0.001,,1.7044141422672965e-06,29.27906418423231,53.22772409999743,
akciğer grafisi (COVID-QU-Ex),D,F55_G32,odakli,4052,0,0.9151872519730926,0.9095662411856196,0.9205140905424116,6788,19.0,0.01,0.001,,8.308004737500596e-07,14.151993888128914,23.24472740001511,
akciğer grafisi (COVID-QU-Ex),C,F63,odakli,3969,0,0.9229531336033068,0.9178944474722784,0.9283131242979654,6788,47.0,0.01,0.001,,2.0808453671250504e-06,43.9862701217638,49.40126940002665,
akciğer grafisi (COVID-QU-Ex),D,F63,odakli,3972,0,0.9007030959186538,0.8948237587416823,0.9064771856861032,6788,13.0,0.0001,0.001,,1.1925333041062911e-06,14.151865791786836,20.60074240004178,
akciğer grafisi (COVID-QU-Ex),C,U90,es_ornekli,8100,0,0.9212030800404484,0.9160857260171512,0.9262419373101212,6788,23.0,0.0001,0.001,,2.18343059010806e-06,21.50176195192943,32.2444805999985,
akciğer grafisi (COVID-QU-Ex),D,U90,es_ornekli,8100,0,0.8753978978653074,0.8683520169751591,0.881881150262189,6788,40.0,0.01,0.001,,1.4083717869706192e-06,34.09260357397864,31.64818770007696,
akciğer grafisi (COVID-QU-Ex),C,F45_G78,odakli,8109,0,0.9421479514498488,0.9376003562510884,0.9466410179422232,6788,46.0,0.01,0.001,,1.687227779711975e-06,48.32667234661044,55.94287380005699,
akciğer grafisi (COVID-QU-Ex),D,F45_G78,odakli,8112,0,0.9213944213188828,0.9156636209271164,0.926716050315438,6788,15.0,0.0001,0.001,,1.129037721980808e-06,20.766400633396643,21.78885310003534,
akciğer grafisi (COVID-QU-Ex),C,F64_G63,odakli,8065,0,0.937924618347474,0.93264724111646,0.9420752479061212,6788,17.0,1,0.001,,7.942307800878901e-07,30.744508036324508,39.16611479991116,
akciğer grafisi (COVID-QU-Ex),D,F64_G63,odakli,8068,0,0.9209610462281832,0.9156639687307784,0.9264756186320448,6788,10.0,0.0001,0.001,,9.775381748511336e-07,20.95820936496016,19.561902999994345,
akciğer grafisi (COVID-QU-Ex),C,F78_G45,odakli,8109,0,0.9388946785611532,0.9342042853178524,0.9431977631481326,6788,37.0,0.01,0.001,,2.90712411987748e-06,60.12183317618487,61.82510489993729,
akciğer grafisi (COVID-QU-Ex),D,F78_G45,odakli,8112,0,0.91726254835571,0.9111833081268668,0.9225342602201676,6788,19.0,0.0001,0.001,,1.1075582335706713e-06,38.99222475772295,23.27981590002309,
akciğer grafisi (COVID-QU-Ex),C,F90,odakli,8100,0,0.926506345517483,0.9216885029116278,0.9314864827831052,6788,39.0,0.01,0.001,,2.4172228467733703e-06,69.46221023292917,41.5608297000872,
akciğer grafisi (COVID-QU-Ex),D,F90,odakli,8103,0,0.8966977665059329,0.8905539451555479,0.9022298491982117,6788,19.0,0.01,0.001,,1.1340845094132135e-06,32.51377664792718,20.135974999982864,
